Component,Part,References,Value,Footprint,Quantity Per PCB,DIGIKEY,Notes
1,LEDCHIP-LED0603,ANTFLG1 LD1,RED,CHIP-LED0603,2,,
2,C-EUC0402,C3 C8 C11 C12 C15,0.1,C0402,5,,
3,C-EUC0603,C5 C14,0.1,C0603,2,,
4,C-EUC0603,C1,0.47n,C0603,1,,
5,C-EUC0402,C2,0.47n,C0402,1,,
6,C-EUC0402,C4 C6 C9,100p,C0402,3,,
7,C-EUC0402,C13,10n,C0402,1,,
8,C-EUC0402,C7,27p,C0402,1,,
9,C-EUC0402,C10,4n7,C0402,1,,
10,WE-MK_0402,L3,LQG15HS27NJ02,0402,1,,
11,WE-CBF_0805,L1 L2,WE-CBF_0805,0805,2,,
12,R-EU_R0402,R4,100k,R0402,1,,
13,R-EU_R0402,R1 R2,1K,R0402,2,,
14,R-EU_R0402,R3,20k,R0402,1,,
15,BMIS-202,S2,BMIS-202,BMIS-202,1,,
16,BCR135W,T1 T2,DDTC114,SOT323-R_INFINEON,2,DTC114YET1GOSCT-ND,
17,MAX2769LPKF,U1,MAX2769LPKF,QFN28LPKF,1,700-MAX2769CETI+,Mouser
18,SMA-142-0701-801_806,X1,SMA,J502-ND-142-0701-801_806,1,CON-SMA-EDGE-S-ND,Normally bulk sourced





Component Groups:,18
Component Count:,29
Fitted Components:,29
Number of PCBs:,1
Total components:,29
Schematic Version:,
Schematic Date:,
BoM Date:,Fri 22 Feb 2019 12:33:48 NZDT
Schematic Source:,/home/phillb/TART/TART/hardware/pcb/front_end_block201902/front_end_block.sch
KiCad Version:,Eeschema 5.0.2+dfsg1-1
